publisher,n,pub_type_rater_1,pub_type_rater_2,description,notes
rave.ohiolink.edu,2,University / institutional repositories,,OhioLINK ETD links use rave subdomain; institutional theses/dissertations.,
rd.usda.gov,2,Government repositories,,USDA Rural Development official site hosts federal publications/reports.,
repository.arizona.edu,2,University / institutional repositories,,"UA institutional repository for theses, articles, datasets.",
researchsquare.com,2,Preprint / working paper servers,,Preprint platform for early-stage manuscripts (Springer Nature partner).,
rongyidianshang.com,2,None/Unknown,,Not in English,
scholar.archive.org,2,Grey literature platforms,,"Internet Archive Scholar discovery/aggregation—hosts copies, not original publisher.",
science.org,2,Grey literature platforms,,AAAS society publishes Science family of journals.,
sciencepolicyjournal.org,2,Scholarly society / association publishers,,"JSPG nonprofit OA, peer‑reviewed policy journal.",
stacks.cdc.gov,2,Government repositories,,CDC Stacks—official CDC publications repository.,
trid.trb.org,2,Government repositories,,"TRID index/abstracts database (catalog), under The National Academies of Sciences, Engineering, and Medicine.",
twj-ojs-tdl.tdl.org,2,Grey literature platforms,,Texas Water Journal on TDL OJS; peer‑reviewed OA journal.,
ucs.org,2,Grey literature platforms,,Union of Concerned Scientists ,
udspace.udel.edu,2,University / institutional repositories,,University of Delaware DSpace institutional repository.,
wvww.naseo.org,2,Scholarly society / association publishers,,National Association of State Energy Officials,
CEQ,1,Government repositories,,Council on Environmental Quality—Executive Office of the President; official publications.,
ERIC,1,Government repositories,,evidence=https://eric.ed.gov; U.S. Dept. of Education index/repository for education research.,
Google Patents,1,Grey literature platforms,,Patent search/aggregation platform; not academic publishing.,
The Korean Association of …,1,Commercial academic publishers,,Journal of the Korean Association of Geographic Information Studies,
White House press release …,1,Government repositories,,Official federal releases on whitehouse.gov.,
acpjournals.org,1,Scholarly society / association publishers,,American College of Physicians publishes peer‑reviewed journals.,
aeaweb.org,1,Scholarly society / association publishers,,"American Economic Association—journals (AER, AEJ), proceedings.",
airalliancehouston.org,1,Grey literature platforms,,"Nonprofit advocacy; publishes reports/briefs, not peer‑reviewed journals.",
ajconline.org,1,Commercial academic publishers,,The American Journal of Cardiology published by Elsevier (commercial).,
alexandriava.gov,1,Government repositories,,Municipal government site hosting city documents/reports.,
amargosaconservancy.org,1,Grey literature platforms,,Nonprofit conservation org producing reports.,
amjtransplant.org,1,Commercial academic publishers,,American Journal of Transplantation,
anacostiariverkeeper.org,1,Grey literature platforms,,Nonprofit; publishes monitoring reports and briefs.,
api.taylorfrancis.com,1,Commercial academic publishers,,Taylor & Francis API domain; commercial academic publisher.,
apps.dtic.mil,1,Government repositories,,Defense Technical Information Center—DoD technical reports.,
aquadoc.typepad.com,1,Grey literature platforms,,Professional blog; not an academic publisher.,
arch.umd.edu,1,Grey literature platforms,,University school center posting institutional materials and reports.,
army.mil,1,Government repositories,,Official U.S. Army site with publications/technical reports.,
ars.usda.gov,1,Government repositories,,USDA Agricultural Research Service publications (federal agency).,
asset.pearlcertification.com,1,Grey literature platforms,,Private company site; white papers/marketing resources.,
bakerbotts.com,1,Grey literature platforms,,Law firm client alerts/white papers; not scholarly publishing.,
benthamdirect.com,1,Commercial academic publishers,,Bentham Science/Bentham Open—commercial journal publisher.,
beyondtoxics.org,1,Grey literature platforms,,Nonprofit EJ advocacy; publishes reports/briefs.,
bio-conferences.org,1,Grey literature platforms,,EDP Sciences OA conference proceedings platform.,
blsa.studentorg.berkeley.edu,1,Scholarly society / association publishers,,Student organization site (institutional content).,
boem.gov,1,Government repositories,,Bureau of Ocean Energy Management—federal agency publications.,
brill.com,1,Commercial academic publishers,,International academic publisher (books/journals).,
cabidigitallibrary.org,1,Grey literature platforms,,CABI (intergovernmental nonprofit) publishes journals/books and hosts a digital library.,
cdc.gov,1,Government repositories,,CDC is a U.S. federal public health agency; official reports/guidance.,
cdt.org,1,Grey literature platforms,,Center for Democracy & Technology—nonprofit policy research/advocacy publications.,
cebra.s3.amazonaws.com,1,Grey literature platforms,,Association,
ceeol.com,1,Grey literature platforms,,Central and Eastern European Online Library is an aggregator/hosting platform for journals/books; not original publisher of record.,
chargevc.org,1,Grey literature platforms,,Organization site posting updates/reports; not scholarly publishing.,
chem.tti.tamu.edu,1,Grey literature platforms,,Texas A&M Transportation Institute program page; hosts reports/data.,
chemrxiv.org,1,Preprint / working paper servers,,Chemistry preprint server (ACS and partners).,
chesapeakebay.net,1,Grey literature platforms,,EPA-led partnership portal; official data/reports.,
chhs.fresnostate.edu,1,University / institutional repositories,,College site disseminating institutional materials.,
china-ces.org,1,Scholarly society / association publishers,,Chinese Economists Society—association with journals/conference proceedings.,
cityparksalliance.org,1,Grey literature platforms,,Nonprofit; publishes policy briefs/reports.,
climate.hawaii.gov,1,Government repositories,,State of Hawai‘i climate portal with official plans/reports.,
climateadvocacylab.org,1,Grey literature platforms,,Nonprofit project publishing toolkits/reports.,
climateandsecurity.org,1,Scholarly society / association publishers,,Council on Strategic Risks program publishing reports/analyses.,
cloud.env.nm.gov,1,Government repositories,,New Mexico Environment Department—official documents/data.,
cnu.org,1,Grey literature platforms,,Congress for the New Urbanism—nonprofit publishing reports/policy.,
coastal.la.gov,1,Government repositories,,Louisiana CPRA—state agency plans/reports/data.,
columbiascwater.net,1,Grey literature platforms,,Municipal water utility posting official documents.,
copi.helunahealth.org,1,Grey literature platforms,,Public health nonprofit program; reports/resources.,
cris.unibo.it,1,University / institutional repositories,,University of Bologna CRIS/IRIS repository for research outputs.,
criticalcare.theclinics.com,1,Commercial academic publishers,,Elsevier Clinics series (commercial academic publisher).,
criticaldebateshsgj.scholasticahq …,1,Open access publishers,,Scholastica‑hosted OA journal platform.,
csus.edu,1,University / institutional repositories,,University site publishing institutional content and reports.,
cureus.com,1,Open access publishers,,OA medical journal platform with peer review.,
dhhs.utah.gov,1,Government repositories,,Utah DHHS—state agency publications.,
digital.library.ncat.edu,1,University / institutional repositories,,"North Carolina A&T institutional repository (DSpace) for theses, dissertations, and research outputs.",
digital.wpi.edu,1,University / institutional repositories,,"Worcester Polytechnic Institute Digital WPI repository, hosting theses, dissertations, and faculty research.",
digitalcommons.bucknell.edu,1,University / institutional repositories,,Bucknell University institutional repository (Digital Commons) for student/faculty work.,
digitalcommons.conncoll.edu,1,University / institutional repositories,,Connecticut College institutional repository (Digital Commons) archiving theses and scholarly works.,
digitalcommons.csumb.edu,1,University / institutional repositories,,"CSU Monterey Bay Digital Commons repository, archiving theses, capstones, and research.",
digitalcommons.du.edu,1,University / institutional repositories,,"University of Denver Digital Commons repository, theses/dissertations and faculty publications.",
digitalcommons.fiu.edu,1,University / institutional repositories,,"Florida International University Digital Commons repository, theses and scholarly outputs.",
digitalcommons.library.umaine.edu,1,University / institutional repositories,,"University of Maine Digital Commons repository for theses, dissertations, faculty publications.",
digitalcommons.lmu.edu,1,University / institutional repositories,,Loyola Marymount University Digital Commons repository archiving theses and scholarly works.,
digitalcommons.memphis.edu,1,University / institutional repositories,,University of Memphis institutional repository (Digital Commons) for theses and research.,
digitalcommons.mtu.edu,1,University / institutional repositories,,"Michigan Tech Digital Commons repository hosting theses, dissertations, and reports.",
digitalcommons.pace.edu,1,University / institutional repositories,,"Pace University Digital Commons repository archiving theses, dissertations, and scholarly works.",
digitalcommons.providence.edu,1,University / institutional repositories,,Providence College Digital Commons repository for theses and scholarly content.,
digitalcommons.unmc.edu,1,University / institutional repositories,,"Univ. of Nebraska Medical Center institutional repository for theses, dissertations, and scholarly output.",
