cites,authors,title,year,source,publisher,article_url,cites_url,gs_rank,query_date,type,doi,ecc,cites_per_year,cites_per_author,author_count,age,abstract,full_text_url,related_url,source_file,tool_name,study_id,double_code,topic_cat,tool_use_type
234,"G Bua, D Kapp, F Ramella, ...",Transition versus physical climate risk pricing in European financial markets: A text-based approach,2024,The European Journal of …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1351847X.2024.2355103,https://scholar.google.com/scholar?cites=4932062984936490780&as_sdt=2005&sciodt=2007&hl=en,7,2025-09-15,NA,10.1080/1351847X.2024.2355103,234,234,59,4,1,"Under its climate regulation, the EU is expected to become the first continent with a net-zero emissions balance. We study the pricing of climate risks, physical and transition, within …",https://www.tandfonline.com/doi/pdf/10.1080/1351847X.2024.2355103,https://scholar.google.com/scholar?q=related:HAf-Uic1ckQJ:scholar.google.com/&scioq=%22climate+risk+viewer%22%7C%22usda+climate+risk+viewer%22%7C%22forest+service+climate+risk+viewer%22%7C%22usfs+climate+risk+viewer%22%7C%22climate+risk+mapping+tool+usda%22%7C%22usda+risk+viewer+climate%22%7C%22usda+climate+risk+tool%22%7C%22climate+risk+beta+viewer%22&hl=en&as_sdt=2007&as_ylo=2023&as_yhi=2025,crv,Climate Risk Viewer,2073,TRUE,NA,NA
0,"K Kim, JMB Volker, C McGinnis, M Zepeda, JM Barajas",Exploring the Equity Effects of VMT Mitigation Measures,2025,NA,rosap.ntl.bts.gov,https://rosap.ntl.bts.gov/view/dot/86214,NA,378,2025-09-15,NA,NA,0,0,0,5,1,"… The former Climate and Economic Justice Screening Tool (CEJST) identifies disadvantaged communities by assessing census tracts across various environmental, health, …",https://rosap.ntl.bts.gov/view/dot/86214/dot_86214_DS1.pdf,https://scholar.google.com/scholar?q=related:HhhDy5UrUVUJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1631,TRUE,NA,NA
0,KY Moore,Environmental Justice,NA,Beyond Health Capacity,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003535768-7/environmental-justice-katera-moore,NA,251,2025-09-15,NA,10.4324/9781003535768-7,0,0,0,1,NA,This chapter presents an overview of environmental justice as a place-based phenomenon that highlights socioeconomic and health disparities and the implications for individuals’ …,NA,https://scholar.google.com/scholar?q=related:tHjbt_yiviwJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1665,TRUE,NA,NA
1,"PR Vieira de Oliveira Salerno, PGT Lewis, ...",Climate Vulnerability and Cardiovascular‐Kidney‐Metabolic Disease in the United States,2025,Journal of the …,ahajournals.org,https://www.ahajournals.org/doi/abs/10.1161/JAHA.124.038251,https://scholar.google.com/scholar?cites=10470061452814248159&as_sdt=2005&sciodt=2007&hl=en,226,2025-09-15,NA,10.1161/JAHA.124.038251,1,1,0,3,1,"… Its companion, the Climate and Economic Justice Screening Tool enables the visualization … as “disadvantaged” by the Climate and Economic Justice Screening Tool, but there was a …",https://www.ahajournals.org/doi/pdf/10.1161/JAHA.124.038251,https://scholar.google.com/scholar?q=related:3-iAJ2shTZEJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1829,TRUE,NA,NA
0,D Glickson,Board on Earth Sciences and Resources and Its Activities,2024,NA,osti.gov,https://www.osti.gov/biblio/2453864,NA,429,2025-09-15,NA,NA,0,0,0,1,1,The National Academies’ Board on Earth Sciences and Resources (BESR) and its standing committees provide an ongoing forum for advancing the understanding and communication …,https://www.osti.gov/servlets/purl/2453864,https://scholar.google.com/scholar?q=related:hW8iOVigQ8cJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1417,TRUE,NA,NA
0,CL Gallagher,Applying and Improving Air Quality Models for Environmental Justice-and Policy-Oriented Research,2023,NA,search.proquest.com,https://search.proquest.com/openview/e11806942e1da562bc956a74ede923e7/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,572,2025-09-15,BOOK,NA,0,0,0,1,2,Addressing systemic inequitable exposure to ambient PM 2.5 concentrations requires air quality data at spatial scales that match decision-making processes. Reduced-form air quality …,NA,https://scholar.google.com/scholar?q=related:Z5lzBGq0b28J:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1400,TRUE,NA,NA
0,NXK Kowu,""" We want to see one St. Joe"": Segregation, Industrial Pollution, and Environmental Injustice in Port St. Joe, Florida from 1935-2023",2024,NA,search.proquest.com,https://search.proquest.com/openview/7ebeacdd62ee80c90e38cc1d0b8e17f5/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,546,2025-09-15,NA,NA,0,0,0,1,1,"As a community marked by its history of segregation, North Port St. Joe (NPSJ), the predominantly Black community of Port St. Joe-FL, suffered from the adverse effects of a polluting …",NA,https://scholar.google.com/scholar?q=related:oHnVCQWKx3kJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1807,TRUE,NA,NA
0,"Z Reed-Spitzer, BG Colby",Environmental Justice: Fine-Scale Empirical Analysis of US,NA,papers.ssrn.com,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5318561,NA,159,2025-09-15,NA,NA,0,0,0,2,NA,"… This section introduces the Climate and Economic Justice Screening Tool (CEJST) data, defines specific variables used in the econometric analysis, and discusses potential data …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5318561,https://scholar.google.com/scholar?q=related:GdXYYdXVESEJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),2058,TRUE,NA,NA
2,"Q Yu, T Que, LJ Cushing, G Pierce, K Shen, ...",Equity and reliability of public electric vehicle charging stations in the United States,2025,Nature …,nature.com,https://www.nature.com/articles/s41467-025-60091-y,https://scholar.google.com/scholar?cites=13805670331670431230&as_sdt=2005&sciodt=2007&hl=en,216,2025-09-15,HTML,NA,2,2,0,6,1,"… Climate and Economic Justice Screening Tool (CEJST) 82 , a new tool that aims to help federal agencies identify DACs. The CEJST … The substantial overlap between CEJST and DOE …",https://www.nature.com/articles/s41467-025-60091-y,https://scholar.google.com/scholar?q=related:_oVdZQWYl78J:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1833,TRUE,NA,NA
4,"Z Li, J Smith-Colin, J Wang",A unified multi-criteria equity metric for data-driven decision-making: Application to tract-level electric vehicle charging station planning,2025,Engineering Applications of Artificial …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0952197625000703,https://scholar.google.com/scholar?cites=15640836313642424101&as_sdt=2005&sciodt=2007&hl=en,93,2025-09-15,HTML,NA,4,4,1,3,1,"This paper introduces a unified, data-driven multi-criteria equity metric designed to address inequities in Electric Vehicle Charging Station (EVCS) accessibility and Electric Vehicle (EV) …",https://www.sciencedirect.com/science/article/pii/S0952197625000703,https://scholar.google.com/scholar?q=related:JdevMMJpD9kJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),2055,TRUE,NA,NA
3,"W House, Justice40 Initiative",Climate and economic justice screening tool,2022,"Washington, DC: White House Council on …",NA,NA,https://scholar.google.com/scholar?cites=13268552964693245589&as_sdt=2005&sciodt=2007&hl=en,106,2025-09-15,CITATION,NA,3,1,2,2,3,NA,NA,https://scholar.google.com/scholar?q=related:lT7_H59eI7gJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),2022,TRUE,NA,NA
0,S Alaska,IN CASE YOU MISSED IT...,2022,NA,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/elrna52&section=41,NA,569,2025-09-15,NA,NA,0,0,0,1,3,""" In the Courts"" contains full summaries of court cases reported in ELR Update during the month of February 2022. They are listed under the following categories: Climate Change, …",NA,https://scholar.google.com/scholar?q=related:y8YPMTi2QucJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1888,TRUE,NA,NA
0,"B Priem, GT Wodtke, K Ard",Racial Disparities in Childhood Exposure to Neurotoxic Air Pollution,2025,Journal of Health and Social …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/00221465251340649,NA,553,2025-09-15,NA,10.1177/00221465251340649,0,0,0,3,1,Racial disparities in exposure to pollution exacerbate health and developmental inequalities. This study examines racial differences in cumulative exposure to a comprehensive set of …,NA,https://scholar.google.com/scholar?q=related:5CDO7mbtRBsJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1346,TRUE,NA,NA
0,DM Livingood,Re: Comments on the Environmental Assessment DOI-BLM-CA-D080-2022-0010-EA for the Ash Meadows POO Modification,2024,NA,amargosaconservancy.org,https://www.amargosaconservancy.org/wp-content/uploads/2025/07/2024-05-03-St.-Cloud-Exploratory-Drilling-EA-Comments-1-1.pdf,NA,784,2025-09-15,PDF,NA,0,0,0,1,1,"As detailed below, the EA for the Project is incomplete and inadequate. Reliance on this EA would violate a number of federal laws, including the Federal Land Policy Management Act (“…",https://www.amargosaconservancy.org/wp-content/uploads/2025/07/2024-05-03-St.-Cloud-Exploratory-Drilling-EA-Comments-1-1.pdf,https://scholar.google.com/scholar?q=related:Axv0K5yOGhgJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1453,TRUE,NA,NA
5,"SE Martenies, M Zhang, AE Corrigan, A Kvit, ...",Developing a national-scale exposure index for combined environmental hazards and social stressors and applications to the environmental influences on …,2023,International journal of …,mdpi.com,https://www.mdpi.com/1660-4601/20/14/6339,https://scholar.google.com/scholar?cites=17876918952318690796&as_sdt=2005&sciodt=2007&hl=en,386,2025-09-15,HTML,NA,5,2.5,1,5,2,… Quality released its Climate and Economic Justice Screening Tool to assess cumulative impacts … Both the EJI and the Climate and Economic Justice Screening Tool include a variety of …,https://www.mdpi.com/1660-4601/20/14/6339,https://scholar.google.com/scholar?q=related:7GVnNxKTF_gJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1944,TRUE,NA,NA
0,"K Johnston, E Puig-Santana, A Pearson, L Sandahl, ...",Enabling Equitable Adoption of Clean Energy Technologies and Practices Through a Collaborative Approach,2024,NA,aceee.org,https://www.aceee.org/sites/default/files/proceedings/ssb24/assets/attachments/20240722160734421_8f51d2b8-b05f-49f9-9fc4-83694b2bf298.pdf,NA,74,2025-09-15,PDF,NA,0,0,0,5,1,"… Climate and Economic Justice Screening Tool (CEJST), which maps burden indicators onto census tracts, to identify DACs by location. While CEJST … situated within a CEJST-defined …",https://www.aceee.org/sites/default/files/proceedings/ssb24/assets/attachments/20240722160734421_8f51d2b8-b05f-49f9-9fc4-83694b2bf298.pdf,https://scholar.google.com/scholar?q=related:xQSdZheO3ksJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1629,TRUE,NA,NA
1,"J Hale, I Bushnell, E Flores, I Vasquez-rodriguez, ...",Addressing the Discriminatory Impacts of Redlining and Highway Development in California,2024,NA,escholarship.org,https://escholarship.org/uc/item/6n97j5sq,https://scholar.google.com/scholar?cites=13437188101482482192&as_sdt=2005&sciodt=2007&hl=en,562,2025-09-15,NA,NA,1,1,0,5,1,This report is a collaboration between the California Office of Environmental Health Hazard Assessment and a research team of graduate students in the Master of Public Policy …,https://escholarship.org/content/qt6n97j5sq/qt6n97j5sq_noSplash_f22b1a8fd895f138f4df4f99622dc90a.pdf,https://scholar.google.com/scholar?q=related:EAr4kGJ7eroJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1564,TRUE,NA,NA
0,AJ Jones Jr,Climate change and the impact on energy insecurity in the residential sector: A place-based analysis into the consumption and energy insecurity heterogeneities …,2024,NA,search.proquest.com,https://search.proquest.com/openview/9bb99fd7949870ae76130503eb144584/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,269,2025-09-15,NA,NA,0,0,0,1,1,Climate change can widen the energy usage and health disparities between vulnerable populations and their counterparts. Extreme heat continues to lead to the most deaths among …,https://kilthub.cmu.edu/articles/thesis/Climate_change_and_the_impact_on_energy_insecurity_in_the_residential_sector_A_place-based_analysis_into_the_consumption_and_energy_insecurity_heterogeneities_within_Arizona/26939809/1/files/49011841.pdf,https://scholar.google.com/scholar?q=related:XWUzfkT5wrwJ:scholar.google.com/&scioq=%22climate+and+economic+justice+screening+tool%22%7C%22cejst%22%7C%22justice40+screening+tool%22%7C%22climate+economic+justice+tool%22%7C%22justice40+cejst%22%7C%22ceq+cejst%22%7C%22environmental+justice+screening+cejst%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2025,cejst,Climate and Economic Justice Screening Tool (CEJST),1317,TRUE,NA,NA
